name,org_name,starts_on,ends_on,location,categories,theme,description
Student League for Black Culture's Welcome Back Luau,Student League for Black Culture,2012-09-13T21:00:00+00:00,2012-09-14T00:00:00+00:00,Furman Ampitheater,,Unknown,"Come out and join us! Don't miss out on the free food, good music, and a chance to meet other organizations on campus! Add your ID # to the form on our Orgsync page by Friday August 31st to reserve your meal."
First training session,Furman University Aikido Club,2012-09-13T22:45:00+00:00,2012-09-14T00:00:00+00:00,Dance studio of PAC,,Unknown,"Aikido training - wear comfortable clothes (sweat pants, tshirt) or dogi if you have one"
CLP: '60s Rock - When the Music Mattered,Furman University Student Activities Board,2012-09-13T23:00:00+00:00,2012-09-14T00:00:00+00:00,Daniel Recital Hall,,Unknown,"Barry Drake, a staple on the college lecture circuit for over 20 years, is one of the most prolific rock & roll historians in the country. Barry will present his award-winning multimedia presentation, “60s Rock - When the Music Mattered,” which examines the styles of music that came together in the 1960s. Mr. Drake's presentation will examine how the political turmoil, the social upheaval, the hippie movement, the Vietnam War, and the generation gap were all reflected in popular music of the day. He will set this music in a cultural context for our current students by giving a societal overview of the 1960s, and will allow them to discover how music today has been influenced by the music of that time. Music is an integral part of our culture, with a history strongly connected to the development of today's society."
$ Four Dollar Dinner,Mere Christianity Forum,2012-09-02T22:30:00+00:00,2012-09-03T00:00:00+00:00,Vista House,,Unknown,"Mere Christianity Forum regulars bring slightly eccentric kitchen concoctions to the table weekly. For food that hits somewhere between gourmet soul and glorified comfort. Drop in Sundays @ 6:30pm. Each week a different student or group of students prepares a meal for approximately 35-40 $4 Dinner Attendars. Generally the meals are made with organic food and are delightfully unique. You are guaranteed a new culinary experience every Sunday night. Dinner is served buffet style and people scatter throughout the house and the grounds to enjoy their meal and good company. It is a time when students can enjoy a homecooked meal and get a break from campus life. If you are interested in sharing your culinary talents by cooking a $4 dinner, please contact Amy Canosa or Drew Woten!"
Swamp Rabbit Birthday Bike Ride,Environmental Action Group (Furman Unviersity),2012-09-02T15:00:00+00:00,2012-09-02T20:00:00+00:00,Meet at the UC,,Unknown,EAG is riding down to the Swamp Rabbit Cafe to celebrate the Swamp Rabbit's birthday with the Greenville community. Come join us at the UC parking lot at 11 if you would like to join!
Wesley Fellowship Mtn Getaway,Furman Wesley Fellowship,2012-09-01T16:00:00+00:00,2012-09-02T16:00:00+00:00,Camp Asbury Hills,,Unknown,"Wesley Fellowship is going to Camp Asbury Hills to kick-off our new year. We will be leaving about noon on Saturday, Sept 1 and returning around noon on Sunday, Sept 2. This will be an opportunity to fellowship together, explore God's call on our new year, and challenge our spirits [and nerves] as we experience the Canopy Tour! What is the Canopy Tour? It is a high zip-wire tour through the tops of trees. The cost of the weekend is $20."
Ocoee Rafting,Furman University Outdoor Club,2012-09-01T04:00:00+00:00,2012-09-02T04:00:00+00:00,Copper Hill. TN,,Unknown,"Our first big trip of the year! This is a ""double"" rafting trip - we're doing both the Upper and Middle sections of the Ocoee river! This includes the 1996 Olympic course! We leave from the Chapel Parking lot at 11:30am Sat morning. Cost is only $25 and that includes transportation, camping, some meals, and the rafting trip itself. Oh, and you get a t-shirt! Contact Eileen Brown and she'll save a seat for you and your friends!"
Panhellenic Recruitment Registration Opens,Panhellenic Council,2012-09-01T04:00:00+00:00,2012-09-01T04:00:00+00:00,No location specified,,Unknown,
MCF/Vista House Movie Night + Bonfire,Mere Christianity Forum,2012-08-31T23:00:00+00:00,2012-09-01T02:30:00+00:00,"Vista House, off the Swamp Rabbit Trail",,Unknown,"Join us at the Vista House once again for an evening of fun and frivolity. We'll have popcorn and other movie-goer favorites and will show The Hunger Games outside at the house. Feel free to bring a blanket or chair! (We'll also have a few to share!) If it rains, we'll just take the party in-doors! After the movie, we'll head down to our fire pit for a good old- fashioned bon-fire complete with S'more making necessities! For directions to the house, click the link! If you need a ride to the house that evening, email Drew Woten!"
EROS Open Forum!,Furman Pride Alliance,2012-08-30T23:00:00+00:00,2012-08-31T02:00:00+00:00,Furman Hall 201,,Unknown,"Have ideas for EROS's future, including meeting topics, social events, co-sponsorships, and/or CLPs? Need to get a suggestion off your chest? Come tell us! Join us in Furman Hall 201 at 7:00pm this Thursday. We'd love to see your smiling faces, and feel free to bring a friend! Love always, EROS"
BCM Thursday Nights!,Furman Baptist Collegiate Ministry,2012-08-30T23:30:00+00:00,2012-08-31T01:15:00+00:00,Burgiss Theater,,Unknown,"Come and join for a time of fellowship around the table, worship, and study of God's Word! It would be our deep joy to worship with you at Furman BCM!"
Productive Political Rhetoric or Just More Bull***?,Furman University Philosophy Club,2012-08-30T23:00:00+00:00,2012-08-31T00:30:00+00:00,Riley Hall 109,,Unknown,This will be an informal discussion with Sean O'Rourke (Communication Studies) and Aaron Simmons (Philosophy). Everyone is invited! The event is co-organized by Phi House and the Cicero Society.
Weekly Meetings,Cooperative Student Fellowship,2012-08-30T23:30:00+00:00,2012-08-31T00:30:00+00:00,Chapel Meeting Room,,Unknown,"Come join CSF every week for devotions, discussion, and...disco dancing! Well...maybe not so much disco. But there will be snacks! Guest speakers! Other fun things!"
Cameron Egan's Birthday,Delta Delta Delta,2012-07-10T04:00:00+00:00,2012-07-10T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, CAMERON!!!"
Kelsey Burchak's Birthday,Delta Delta Delta,2012-07-10T04:00:00+00:00,2012-07-10T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, KELSEY!!!"
Carrie LaGrone's Birthday,Delta Delta Delta,2012-07-09T04:00:00+00:00,2012-07-09T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, CARRIE!!!"
Carly Grieff's Birthday,Delta Delta Delta,2012-07-05T04:00:00+00:00,2012-07-05T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, CARLY!!!"
Summer O-Staff Move Out,Orientation Staff,2012-07-02T16:00:00+00:00,2012-07-02T17:00:00+00:00,No location specified,,Unknown,
Cara Lepore's Birthday,Delta Delta Delta,2012-06-30T04:00:00+00:00,2012-06-30T04:00:00+00:00,No location specified,,Unknown,"HAPPY BIRTHDAY, CARA!!!!"
Stephanie Arani's Birthday,Delta Delta Delta,2012-06-20T04:00:00+00:00,2012-06-20T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, STEPHANIE!!!"
Summer O-Staff Move In,Orientation Staff,2012-06-13T13:00:00+00:00,2012-06-13T14:00:00+00:00,No location specified,,Unknown,
Morgan Hobb's Birthday,Delta Delta Delta,2012-06-08T04:00:00+00:00,2012-06-08T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, MORGAN!!!!"
Mary Parman's Birthday,Delta Delta Delta,2012-06-06T05:00:00+00:00,2012-06-06T06:00:00+00:00,everywhere!,,Unknown,HAPPY BIRTHDAY MARY!!!
LDOC,"Kappa Kappa Gamma, Eta Alpha chapter",2012-04-24T04:00:00+00:00,2012-04-24T04:00:00+00:00,No location specified,,Unknown,
Library open until 2 am.,James B. Duke Library,2012-04-23T04:00:00+00:00,2012-04-24T04:00:00+00:00,Library,,Unknown,The library will be open until 2 am for final exams.
Dessert Party,Delta Delta Delta,2012-04-24T00:30:00+00:00,2012-04-24T01:30:00+00:00,J300,,Unknown,Sisterhood Dessert Party from 8:30-9:30pm in J300! Not mandatory! Just for fun! Come and enjoy some dessert with your sisters before exams start!
US Air Force Airmen of Note Jazz Ensemble,Furman University Jazz Ensemble,2012-04-23T23:30:00+00:00,2012-04-24T00:30:00+00:00,McAlister Auditorium,,Unknown,"Furman Jazz Studies is proud to present The Airmen of Note (http://www.usafband.af.mil/ensembles/BandEnsembleBio.asp?EnsembleID=58), the military's premiere jazz ensemble for a FREE concert. Free tickets will be available through Timmons Arena soon. Stay tuned for further announcements!"
ACS Spring Picnic,American Chemical Society,2012-04-23T22:30:00+00:00,2012-04-24T00:30:00+00:00,North Village Pavilion (Near G),,Unknown,"Come out for food and fun at the ACS Spring Picnic! We will have hamburgers (veggie burgers for vegetarians) and hot dogs and lots of delicious treats. Activities include volleyball, basketball, frisbee, and a variety of board games. You will also have a chance to win a periodic table blanket! The cost is $2 for non-members and FREE for everyone else. Sign-ups are posted on the board outside the chemistry suite. Hope to see you there!"
Singing at the ESPYs,Furman University FUtones,2012-04-23T23:30:00+00:00,2012-04-24T00:30:00+00:00,younts maybe?,,Unknown,exact time is TBA
Mere Christianity Forum (Monday Night Forum),Spiritual Life at Furman,2012-04-23T23:00:00+00:00,2012-04-24T00:15:00+00:00,Haynesworth Room in James B. Duke Library,,Unknown,
Auditions for Spring Awakening,Furman University Pauper Players,2012-04-23T23:00:00+00:00,2012-04-24T00:00:00+00:00,Downstairs Theory Room (Music Building),,Unknown,"Come audition for the Pauper Player's fall production of SPRING AWAKENING! Auditions will be held on: Monday, April 23rd from 7:00-8:00pm and Tuesday, April 24th from 6:30-9:00pm **Auditions will be held in the Downstairs Theory Room** Prepared at least 16 bars of a musical theater piece or rock song Email emily.zinger@furman.edu with any questions!"
Lutheran Student Assocation,Spiritual Life at Furman,2012-04-23T22:15:00+00:00,2012-04-23T23:30:00+00:00,Chapel Meeting Room,,Unknown,
Practice!,Furman University Club Tennis,2012-04-23T22:00:00+00:00,2012-04-23T23:00:00+00:00,varsity courts,,Unknown,
Roman Catholic Mass,Spiritual Life at Furman,2012-04-15T22:30:00+00:00,2012-04-15T23:30:00+00:00,Daniel Chapel,,Unknown,
$4 Dollar Dinner,Mere Christianity Forum,2012-04-15T22:30:00+00:00,2012-04-15T23:30:00+00:00,Vista House,,Unknown,Mere Christianity Forum students bring slightly eccentric kitchen concoctions to the table weekly. For food that hits between gourmet soul and glorified comfort. Drop in on Sundays at 6:30pm.
Mass,Catholic Campus Ministry,2012-04-15T22:30:00+00:00,2012-04-15T23:30:00+00:00,Chapel,,Unknown,
First AZ Meeting,Furman Panhellenic Recruitment 2012-2013,2012-04-15T21:00:00+00:00,2012-04-15T22:00:00+00:00,Hipp Hall Lobby,,Unknown,Quick meeting and then dinner!
"University Worship: ""Praying in Tongues""",Spiritual Life at Furman,2012-04-15T21:00:00+00:00,2012-04-15T22:00:00+00:00,Daniel Chapel,,Unknown,"Join us for University Worship as we consider Ancient Prayers, Desert Prayers, and Final Prayers given to us from the Hebrew Scriptures. We will walk through Lent and Easter with these prayers as our guide. Using the tongues of the earth, we will sing hymns, read Scripture, and share stories in the world's languages, reminding us that the world prays in tongues. Ancient Prayers January 15: No Services January 22: Dust and Ashes: Praying for Justice January 29: Face to Face: Praying for the Community February 5: Set the World: Praying for a New Way February 12: Heaven and Earth: Praying to Give Praise February 19: An Understanding Mind: Praying for Wisdom Desert Prayers February 26: From the Pit: Praying for Deliverance March 4: No Services March 11: No Services March 18: A Brief Moment: Praying for Intimacy March 25: Before the Lion: Praying for Empowerment April 1: Buy the Field: Praying for the Radical April 8: No Services Final Prayers April 15: Things Too Wonderful: Praying with Humility April 22: Do Not Delay: Praying Like There's No Tomorrow"
2011-2012 Final Orchestra Concert,Furman Symphony Orchestra,2012-04-15T19:00:00+00:00,2012-04-15T20:00:00+00:00,"McAlister Auditorium, Furman University",,Unknown,"Performing Les Préludes by Franz Liszt and Symphony No. 2, Lobgesang by Felix Mendelssohn Joined by the Furman Singers and featuring guest conductor John Nelson"
Wesley Fellowship Spring [Beach] Retreat,Furman Wesley Fellowship,2012-04-13T20:00:00+00:00,2012-04-15T19:00:00+00:00,"Sam's Beachhouse - Beaufort, SC",,Unknown,"WESLEY SPRING [Beach] RETREAT Friday, April 13 at 4:00pm - April 15 at 3:00pm We will be staying at Sam's beachhouse in Beaufort. This is a great time to get away from the busy-ness that is Furman to relax, rejuvenate, and refocus on our lives as Christians. During the weekend we will be looking at Jesus' last days with his disciples - AFTER the Resurrection. The cost is $20. Please respond by March 31 with your money. If you have questions, please contact Edward."
Beach Weekend,Fellowship of Christian Athletes,2012-04-13T17:00:00+00:00,2012-04-15T14:00:00+00:00,Myrtle Beach,,Unknown,FCA Beach Weekend!
Jessica Jackson's Birthday,Delta Delta Delta,2012-04-15T05:00:00+00:00,2012-04-15T06:00:00+00:00,Everywhere!,,Unknown,Happy birthday Jessica!!!
LIVE! Service-Learning Day,Cothran Center for Vocational Reflection,2012-04-14T13:00:00+00:00,2012-04-14T17:00:00+00:00,Triune Mercy Center,,Unknown,"This is an opportunity to learn about the struggle of the homeless and those in the Greenville area living in poverty. Come hear their stories... For those who have visited Triune in the past, there will also be opportunities to provide service at the Center that day."
Baptist Collegiate Ministry,Spiritual Life at Furman,2012-04-06T00:00:00+00:00,2012-04-06T01:15:00+00:00,"Watkins Room, University Center",,Unknown,
"Cooperative Student Fellowship, weekly meeting",Cooperative Student Fellowship,2012-04-05T23:30:00+00:00,2012-04-06T00:30:00+00:00,"Daniel Chapel, Meeting Room",,Unknown,"CSF's weekly meetings are open to everyone, new and returning members. Please join us for a time of devotion, discussion, and fellowship."
Christian Student Fellowship,Spiritual Life at Furman,2012-04-05T23:30:00+00:00,2012-04-06T00:30:00+00:00,Chapel Meeting Room,,Unknown,
Reformed University Fellowship,Spiritual Life at Furman,2012-04-05T23:00:00+00:00,2012-04-06T00:15:00+00:00,"Ramsey Parlor, Lakeside Housing",,Unknown,
Orthodox Christian Fellowship,Spiritual Life at Furman,2012-04-05T23:00:00+00:00,2012-04-06T00:00:00+00:00,Chapel Conference Room,,Unknown,
CSF Weekly Dinner,Cooperative Student Fellowship,2012-04-05T22:30:00+00:00,2012-04-05T23:20:00+00:00,Paladen,,Unknown,Come out and eat dinner with CSF every week before our meetings!
Society for Free Inquiry (SoFI) Dinner Meeting,Furman University Secular Student Alliance,2012-04-05T22:00:00+00:00,2012-04-05T23:00:00+00:00,P-Den,,Unknown,Come enjoy dinner and discussion with a diverse group of people! People of all faith backgrounds are invited to attend.
Practice!,Furman University Club Tennis,2012-04-05T22:00:00+00:00,2012-04-05T23:00:00+00:00,varsity courts,,Unknown,
faithSERVE,Spiritual Life at Furman,2012-04-05T21:30:00+00:00,2012-04-05T23:00:00+00:00,Chapel Garden Room,,Unknown,"Join us for reflection and service as we consider the ways in which our faith traditions and philosophies inform what we do and why we do it. Once a month, we gather in the Garden Room for reflection. On the other Thursdays, we help serve a meal at GAIHN (Greenville Area Interfaith Hospitality Network) to families in transitional homelessness."
faithSERVE Meeting/Service Day,Furman Interfaith,2012-04-05T21:30:00+00:00,2012-04-05T23:00:00+00:00,Furman Chapel / Places of worship,,Unknown,"The first of every month will be dedicated to having a meal together, with reflection on specific pieces by prominent writers on why we serve, whom we serve, etc. The weeks after will be divided among members to go to places of worship and help contribute to a meal for the GAIHN family they will be serving."
Orthodox Christian Fellowship,Spiritual Life at Furman,2012-03-29T23:00:00+00:00,2012-03-30T00:00:00+00:00,Chapel Conference Room,,Unknown,
CSF Weekly Dinner,Cooperative Student Fellowship,2012-03-29T22:30:00+00:00,2012-03-29T23:20:00+00:00,Paladen,,Unknown,Come out and eat dinner with CSF every week before our meetings!
faithSERVE,Spiritual Life at Furman,2012-03-29T21:30:00+00:00,2012-03-29T23:00:00+00:00,Chapel Garden Room,,Unknown,"Join us for reflection and service as we consider the ways in which our faith traditions and philosophies inform what we do and why we do it. Once a month, we gather in the Garden Room for reflection. On the other Thursdays, we help serve a meal at GAIHN (Greenville Area Interfaith Hospitality Network) to families in transitional homelessness."
Practice!,Furman University Club Tennis,2012-03-29T22:00:00+00:00,2012-03-29T23:00:00+00:00,varsity courts,,Unknown,
faithSERVE Meeting/Service Day,Furman Interfaith,2012-03-29T21:30:00+00:00,2012-03-29T23:00:00+00:00,Furman Chapel / Places of worship,,Unknown,"The first of every month will be dedicated to having a meal together, with reflection on specific pieces by prominent writers on why we serve, whom we serve, etc. The weeks after will be divided among members to go to places of worship and help contribute to a meal for the GAIHN family they will be serving."
IFC Meetings,Beta Theta Pi,2012-03-29T21:30:00+00:00,2012-03-29T22:30:00+00:00,Furman Hall 119,,Unknown,
Rising Junior ICE selections due,Furman Peer Advisors,2012-03-29T21:00:00+00:00,2012-03-29T21:00:00+00:00,n/a,,Unknown,ICE selections for rising juniors are due by 5pm.
Practice,Women's Club Volleyball,2012-03-29T19:30:00+00:00,2012-03-29T20:30:00+00:00,PAC,,Unknown,
CLOC!,Chi Omega,2012-03-29T19:00:00+00:00,2012-03-29T20:00:00+00:00,"2600 Wade Hampton Blvd, Greenville, SC",,Unknown,"Support our local philanthropy the Carolina Lutheran Outreach Center! Three to four sisters volunteer their time weekly to help elementary school students with their homework. Sisters are invited to volunteer any day of the week, but Thursdays are designated as Chi Omega's volunteer day. Questions? Ask community service chair Colleen Roberts!"
Relay for Life,Sigma Nu,2012-03-29T16:00:00+00:00,2012-03-29T17:00:00+00:00,No location specified,,Unknown,
CLP: Step Afrika,Furman University Student Activities Board,2012-03-22T00:00:00+00:00,2012-03-22T01:00:00+00:00,McAlister Auditorium,,Unknown,"Step Afrika is the first professional performance company in the world dedicated to the tradition of stepping. The company has been featured on CNN, BET, PBS, and NPR. Co-sponsored by SLBC and FUSAB"
CCM Meeting,Catholic Campus Ministry,2012-03-21T23:30:00+00:00,2012-03-22T01:00:00+00:00,Chapel Garden Room,,Unknown,"This week we will be discussing ""The Way, the Truth, and the Life"", the topic from our retreat this past weekend. The discussion will be an opportunity for those who did not attend the retreat to get a sense of what we talked about while those who did attend can reflect more on the topic. Join us for dinner at 7:30 followed by discussion at 8:00."
Catholic Campus Ministry,Spiritual Life at Furman,2012-03-21T23:15:00+00:00,2012-03-22T01:00:00+00:00,Chapel Garden Room,,Unknown,
Black Soccer vs Beta Theta Pi,Sigma Nu,2012-03-21T23:30:00+00:00,2012-03-22T00:30:00+00:00,PAC,,Unknown,
Flowerside,"Kappa Kappa Gamma, Eta Alpha chapter",2012-03-21T23:00:00+00:00,2012-03-22T00:00:00+00:00,Watkins,,Unknown,Bigs to arrive at 6:45pm Chapter to arrive at 7:00pm
CSBT Meeting,Furman Conservative Society,2012-03-21T23:00:00+00:00,2012-03-22T00:00:00+00:00,Johns Hall 107,,Unknown,
"""Evening With"" Dinner Series hosts Rev. Beth Templeton",Mere Christianity Forum,2012-03-21T23:00:00+00:00,2012-03-22T00:00:00+00:00,Vista House,,Unknown,"Rev. Beth Templeton is the director of ""Their Eyes Were Opened,"" the poverty education program of United Ministries, a Greenville-based social service agency aimed at eradicating poverty in Greenville county. Rev. Templeton has spent the past 30 years working for poverty alleviation in Greenville and is the author of ""Loving Our Neighbor: A Thoughtful Approach to Helping People in Poverty"". Join us as we learn about her vocational journey, life, and work in Greenville. The Vista House hosts Furman faculty or local community members as featured guest in Vista House’s ongoing interview series known as “An Evening with…” This allows a small group of Furman students to engage in frank conversation and sharp dialogue with interesting and interested members of the larger Furman community. Please join us for dinner this week! If you would like to attend this Wednesday 7 pm dinner, please RSVP to amy.canosa@furman.edu."
Orthodox Christian Fellowship,Spiritual Life at Furman,2012-03-21T23:00:00+00:00,2012-03-22T00:00:00+00:00,Chapel Conference Room,,Unknown,
Snakes Soccer,Sigma Nu,2012-03-21T22:30:00+00:00,2012-03-21T23:30:00+00:00,PAC,,Unknown,
Tie A Love Knot,Heller Service Corps,2012-03-21T22:00:00+00:00,2012-03-21T23:00:00+00:00,Watkins Room,,Unknown,"April is Child Abuse Awareness Month and every time a child is picked up by a DSS worker or a Guardian Ad Litem they are given their very own special blanket that is monogramed with the following, ""You are Treasured - You are Loved. Students will be assembling ""no sew"" fleece blankets simply by tying knots around the border of the blanket. Pizza and music will be provided and the goal is to make 100 blankets. Greenville has the highest child abuse rate in South Carolina. Please come join us for this special opportunity to help make a child feel loved."
Gold Volleyball,Sigma Nu,2012-03-14T00:45:00+00:00,2012-03-14T01:45:00+00:00,PAC,,Unknown,
Presbyterian Student Assocation,Spiritual Life at Furman,2012-03-14T00:00:00+00:00,2012-03-14T01:30:00+00:00,Chapel Meeting Room,,Unknown,
Seek Justice with IJM (weekly meeting),International Justice Mission,2012-03-14T00:00:00+00:00,2012-03-14T01:00:00+00:00,McEachern Lecture Hall- Furman Hall,,Unknown,This week we will be having our weekly meeting at 8:00 PM in McEachern Lecture Hall. Come get updates on issues of global injustice and play games and eat snacks with fellow justice seekers! ALL ARE WELCOME!
Bible Study,UKirk Furman,2012-03-14T00:00:00+00:00,2012-03-14T01:00:00+00:00,Meeting Room in Chapel,,Unknown,
Black Soccer vs. Sig Chi,Sigma Nu,2012-03-14T00:00:00+00:00,2012-03-14T01:00:00+00:00,PAC,,Unknown,
Wesley Fellowship Weekly Meeting,Furman Wesley Fellowship,2012-03-13T23:45:00+00:00,2012-03-14T00:45:00+00:00,"Garden Room, Furman Chapel",,Unknown,
