name,short_name,slug,status,visibility,category_names,description,summary
Furman University Philosophy Club,Phi House,furman-university-philosophy-club,Active,Public,Academic,"The Furman University Philosophy Club (Phi House) is a student-run organization devoted to promoting philosophical engagement and discourse across campus. We believe that philosophy is about more than big, fancy words like ""metaphysics."" It is about thinking well together so that we can live better, more meaningful lives. In light of this understanding, Philosophy Club seeks to establish spaces on campus where anyone and everyone, regardless of major, can come and talk about things that matter. Come join the party!","The Furman University Philosophy Club (Phi House) is a student-run organization devoted to promoting philosophical engagement and discourse across campus. We believe that philosophy is about more than big, fancy words like ""metaphysics."" It is about th.."
Furman University Ping-Pong Association,FUPA,fupa,Active,Public,Atheltics;Special Interest,,The Furman University Ping-Pong Association serves to hold events and practices centered around the game of ping-pong.
Furman University Pre-Dental Club,FUPDC,fupdc,Active,Public,Academic;Community Service,"FUPDC serves as a resource for students to explore a future career in dentistry. Our mission is to promote and improve oral care, treatment, and education through various programs as we believe oral health is the foundation of overall health. As an organization, FUPDC ascribes to the values of PRIDE: professionalism, respect, integrity, diversity, and excellence. We seek to embody these values in our efforts to better both FUPDC and the community. FUPDC is guided by the belief that everyone should have access to quality dental care to improve his or her own overall health. We believe that this vision can provide a brighter future for everyone in our university and in our community.","FUPDC serves as a resource for students to explore a future career in dentistry. Our mission is to promote and improve oral care, treatment, and education through various programs as we believe oral health is the foundation of overall health"
Furman University Responders ,FUR,furman-university-responders,Active,Public,Academic;Programmatic;Community Service,"Furman University Responders is a way for Furman Students to get medical training, connect with like-minded students, volunteer at first aid stations with the MAT, respond as EMTs with FUEMS, and complete training to become EMT, EMR, First Aid, and/or CPR certified. We offer various medical-centered events throughout the year, including guest speakers and medical training courses such as CPR/AED/First Aid and Stop the Bleed training. Our goal is to expose Furman students to the world of medicine through direct exposure and training. To request for the Medical Aid Team to provide first aid at your on-campus event, or to request for a CPR/AED/First Aid class for your Furman group, please fill out the appropriate form below under ""forms"". You can register to join the Medical Aid Team here: Click here to join the MAT You can register to join Furman University Emergency Medical Services here: Click here to join FUEMS For questions about joining or the club in general, feel free to reach out to our contact!","Furman University Responders is a way for Furman Students to get medical training, connect with like-minded students, volunteer at first aid stations, and complete training to become EMR, First Aid, and/or CPR certified."
Furman University Rock Climbing,,climbingclub,Active,Public,Club Sports,"For those who scale walls, not walk around them. The Furman University Climbing Club brings students of all abilities and skill levels together with the common goal of pushing comfort zones and achieving new heights (personally and literally). From indoor walls to 500-foot mountain faces, the Climbing Club hosts get togethers and trips for everything climbing. Also within the Climbing Club, we encourage motivated students to join the competitive climbing team to prepare for local, regional, and national competitions. No experience required, just reach out to any club officers for more information! Be sure to join our SyncDIN to be added to our group-chats and mailing list.","For those who scale walls, not walk around them. The Furman University Climbing Club brings students of all abilities and skill levels together with the common goal of pushing comfort zones and achieving new heights, both personally and literally."
Furman University Singers ,Furman Singers ,furmansingers,Active,Public,Academic;University Department/Office;Fine Arts,"Founded in 1946, Furman Singers is one of the premier collegiate ensembles in America. The group tours across the United States and Europe, showcasing a repertoire that covers everything from Renaissance motets to the finest choral music of the 20th century. Singers is open to majors and non-music majors, but auditions are required.","Founded in 1946, Furman Singers is one of the premier collegiate ensembles in America. The group is made up of students that are music majors and non-music majors, but auditions are required"
Furman University Social Dance Society,FUSDS,fusds,Active,Public,Special Interest,"Dancing is a great way to exercise, causally socialize, and a safe space to step outside your comfort zone... Plus it is just spectacularly fun. FUSDS was started by those who strongly believed in this idea, and continue to pass it down through energetic and ingenuitive members. We love all forms of ""country"" dance, from Swing dancing to Contra dancing, and we are always open to more fun dancing styles and ideas.",A group of students interested in social and community dances from all over the United States and the world.
Furman University Student Activities Board,FUSAB,furman-university-student-activities-board,Active,Public,Special Interest,"The mission of FUSAB is to provide entertainment for the student body according to campus interests while also providing opportunities for students to have experiences that they may not otherwise have. FUSAB instills in its members a sense of leadership, organization, cooperation, and innovation. FUSAB’s activities reflect the board belief that entertainment is multi-faceted and can encompass a wide array of activities, including those that are educational and cultural. Types of events include those both on and off campus, concerts, tailgates, and more.",The mission of FUSAB is to provide entertainment for the student body according to campus interests while also providing opportunities for students to have experiences that they may not otherwise have.
Furman University Student Entrepreneurship Association,FUSEA,fusea,Active,Public,Academic;Special Interest,"Furman University’s premier student-led entrepreneurship group, where students come to launch their ideas, ventures and future! MISSION: To grow entrepreneurial leaders on campus to prepare students for success after college!",Mobilizing Furman's leading student entrepreneurs to launch individual and group ventures
Furman University Women in Economics ,FUWIE,fuwie,Active,Public,Academic;Diversity and Inclusion,"Furman University Women in Economics (FUWIE) is an organization centered around bringing together women with a passion for economics. FUWIE’s mission is to help those women develop their academic and career paths alongside other women with similar interests, forming a strong support system before they enter the male-dominated professional field. To foster community, FUWIE hosts events such as panels, social events, and lectures to help connect undergraduate women and other students to older students, recent graduates, and women with well-established careers.","Furman University Women in Economics (FUWIE) is an organization centered around bringing together women and other students with a passion for economics through panels, social events, lectures, and mentorship opportunities."
Furman Vietnamese Student Association,FVSA,fvsa,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,,"Welcome to the Furman Vietnamese Student Association (FVSA), where we celebrate and share the vibrant culture of Vietnam through traditions, cuisine, and arts. Join us to experience the richness of Vietnamese events all year round!"
Furman Wesley Fellowship,Wesley Fellowship,furman-wesley-fellowship,Active,Public,Religious Council,"The Wesley Fellowship is a group of Christian students supported by the United Methodist Church. Our Weekly Gatherings are on Tuesday nights in the Garden Room [Chapel] beginning at 8pm. While the structure and the emphasis of the group is founded on the principles of Methodism, our members represent a wide variety of different faith backgrounds. John Wesley, the founder of the Methodist movement, had a strong commitment to living the life of faith, not just talking about it. The Wesley Fellowship at Furman also tries to put our faith into action. We do this through weekly programs, Bible Study, missions, retreats, fun outings of fellowship, and much more. Our weekly gatherings consist of dynamic music, powerful speakers, challenging conversations, and prayer.","The Wesley Fellowship is a group of Christian students supported by the United Methodist Church. Not all the students in the group are United Methodist, but the structure and the emphasis of the group are founded on the principles of United Methodism."
Furman Women in Business,FWIB,fwib,Active,Public,Special Interest,"FWIB's mission is to assist these women in developing their academic and career paths alongside other women with similar interests, forming a robust support system before they enter the professional field, which historically has been male-dominated. The purpose of Furman Women in Business is to provide greater opportunities for community building within the male-dominated major and field of business. To achieve this, Furman Women in Business hosts events such as alumni panels, social gatherings, and networking opportunities to connect undergraduate students across the curriculum and establish connections with older students, recent graduates, alumni, and female professionals in the community with well-established careers.","Furman Women in Business is an organization centered around uniting women with a passion for business. We focus on building connections, preparing for careers after college and showcasing the unique paths and successes of women in the professional world."
Furman Women's Club Soccer,Women's Club Soccer,furman-women-s-club-soccer,Active,Public,Club Sports,"For soccer players with a love for the game and looking for competitive fun. Club soccer is an awesome way to continue playing. Come join our family! Instagram: @furmanclubsoccer Contacts: Gigi Sessions: (904)947-2629, sessga6@furman.edu Elisa Fajardo Henry: (502)592-4540, fajael3@furman.edu",For soccer players with a love for the game and looking for competitive fun. Club soccer is an awesome way to continue playing. Come join our family! Instagram:@furmanclubsoccer Gigi Sessions: 9049472629 Elisa Fajardo Henry: 5025924540
Furman Women's Rugby,,womenrugby,Active,Public,Atheltics;Club Sports,"Furman Women’s Rugby Club is an inclusive organization committed to fostering teamwork, resilience, and athletic excellence. As a newly established club, we aim to introduce the sport of rugby to students of all skill levels, from beginners to seasoned players. The club is dedicated to building a strong community on and off the field, promoting physical fitness, sportsmanship, and leadership. Members have the opportunity to develop rugby skills, participate in competitive matches, and engage in team-building activities. Furman Women’s Rugby Club is more than just a sports team; it’s a supportive environment where players can challenge themselves, create lifelong friendships, and contribute to a legacy of women’s sports at Furman.","Furman Women’s Rugby Club is an inclusive team promoting teamwork, resilience, and athleticism. Open to all skill levels, it fosters fitness, sportsmanship, and leadership, helping members build skills, compete, and form lasting friendships."
Furman Young Democratic Socialists of America,FU-YDSA,ydsa,Active,Public,Political;Special Interest,"Furman YDSA is Furman's chapter of the Young Democratic Socialists of America, the student section of the Democratic Socialists of America. We are helping to build a democratic movement to win political power for the multiracial working class and end plutocracy, racial and gender oppression, imperialism, environmental destruction, and ultimately, capitalism itself. It's no easy task, which is why we hope you'll join us!","Furman YDSA is Furman's chapter of the Young Democratic Socialists of America, the student section of the Democratic Socialists of America. We are building a movement to win political power for the working class and end capitalism. We need your help!"
Gilpatrick Historical Society,Gilpatrick,gilpatrick,Active,Public,Academic;Special Interest,"The student club of the History Department. Open to all. Meetings will consist of consumption of historical snacks, creation of historical crafts, viewing of historical films, guest lectures on historical topics, and field trips to historical sites. For more information, follow us on Instagram @gilpatrickatfurman.","The student club of the History Department. Open to all. Meetings will consist of consumption of historical snacks, creation of historical crafts, viewing of historical films, guest lectures on historical topics, and field trips to historical sites."
GIS & Mapping Club,,gis_and_mapping_club,Active,Public,,"At the GIS & Mapping Club, we explore Furman's campus and the wider world through mapping technology. It's the perfect space for anyone curious about places, data, or visual storytelling. No prior experience with GIS is needed—just bring your curiosity. GIS is a tool used across countless fields, from visualizing disease spread in public health to mapping election data in political science and monitoring urban forestry for sustainability. Our club is designed to foster interdisciplinary collaboration, encouraging students from all majors to connect their interests through the power of maps.","At the GIS & Mapping Club, we explore Furman's campus and the wider world through mapping technology."
Gymnastics Club,,furman_club_gymnastics,Active,Public,Atheltics;Club Sports,"This club has been a part of Furman’s campus and had much success. It fostering a sense of teamwork, discipline, and wellness. It provides a space for students to develop physical skills while promoting inclusivity and school spirit. Gymnastics is a community sport, and would encourage Furman’s students explore their interest and build community based off of common goals. It requires going to practices at foothill gymnastics center, which is close to Furman university. These practices are typically held once a week.","The purpose of Furman Club Gymnastics shall be to create an inclusive community where every student, regardless of their previous experience, can enjoy gymnastics, build confidence, and improve their physical fitness."
H&RL Student Staff Members,Residence Life SSM,h-rl-student-staff-members,Active,Public,University Department/Office,This group will serve as a resource for Residence Life Student Staff Members throughout the academic year.,This group will serve as a resource for Residence Life Student Staff Members throughout the academic year.
HackeDIN,,hackedin,Active,Public,Academic,,"HackeDIN aims to provide opportunities for career preparation in computer science. A few examples would be computer science competitions, independent studies, and technical/coding interview preparation."
Heller Service Corps,Heller,heller-service-corps,Active,Public,University Department/Office;Programmatic;Community Service,"Above all, Heller Service Corps is dedicated to serving others through life-changing work. We are dedicated to a life of discovering passions and providing opportunities to learn. Heller channels our student body’s benevolence by bridging the gap between Furman’s campus and the Greenville community. We are here to foster relationships, cultivate a spirit of giving, and, ultimately, provide service both on and off campus. Visit furman.edu/heller to learn more!","Heller Service Corps is here to foster relationships, cultivate a spirit of giving, and, ultimately, provide service both on and off campus."
Hispanic Outreach and Latine Awareness,HOLA,hispanic-outreach-and-latinx-awareness,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations;Community Service;Special Interest,"HOLA is an organization that promotes both the Hispanic and Latin culture at Furman and in the community by providing an enriching experience for students through different events on campus. Anyone can join! HOLA presents its mission to provide engaging learning experiences and exposure to both the Hispanic and Latinx culture on campus. As a community, we will strive towards success by promoting self-awareness and acceptance. It is important for us to share the Hispanic and Latinx culture with our Furman community and at large, so we can strengthen our relationships by inviting students to learn about the different backgrounds that make up Furman University. Through local community networking and on-campus collaboration with other organizations, we will create an open and safe environment to engage students with the Hispanic and Latinx communities.",HOLA is an organization that promotes both the Hispanic and Latino culture at Furman and in the Greenville community by providing enriching experiences for students through events and community service on and off campus. Anyone is welcomed to join!
Improv!able Cause Improvisational Comedy Troupe,Improv!able Cause,improvable-cause,Active,Public,Media;Diversity and Inclusion;Fine Arts;Special Interest,"Improv!able Cause is a 30-year-old troupe founded as an outlet for students to add some play to their lives! We are a tight-knit bunch of energetic students who encourage silliness into the lives of one another and the campus as a whole. We put on a monthly Improv Show hosted in none other than Burgiss Theatre, and hold open practices for others to come learn and grow in their improv skills (and have a blast while doing so). We are always open and excited to help with any cosponsorships or unique campus ideas, so please feel free to reach out! We hold troupe auditions in September of the Fall Semester, but encourage people to reach out if interested! No prior experience is required, all we ask is you bring a positive attitude and a ""yes and..."" mindset! COME THROW STUFF AT US",We make up comedy on the spot based off of audience suggestions.
Institute for the Advancement of Community Health,IACH,iach,Active,Public,Academic;University Department/Office;Programmatic,"The Institute for the Advancement of Community Health was established at Furman during the Spring of 2016. It grew out of the partnership Furman had established with the Greenville Health System as well as other community partners. Through harnessing the collective power of health care providers, public health experts, advocacy groups, students and others, we can create engaged communities who are committed to the advancement of the health of Greenville, SC.","Connecting Students and Community, Advancing Education and Research, Improving Health."
Interfraternity Council,FU IFC,interfraternity-council,Active,Public,Fraternities and Sororities;Diversity and Inclusion;Programmatic;Community Service,"Furman University's Interfraternity Council exists to improve the general condition of member fraternities through cooperation, strengthen ourselves through a system of self-government, and to establish better relations with the administration and faculty of Furman University.","Furman University's Interfraternity Council exists to improve the general condition of memeber fraternities through cooperation, strengthen ourselves through a system of self-government, and to establish better relations with the university community."
Intergroup Dialogue Program,IGD,igd,Active,Public,University Department/Office,"Dins Dialogue Workshops create spaces for participants to engage with one another across differences of race, gender, sexuality, class, faith and politics in ways that promote mutual understanding, compassion, and social change.","Dins Dialogue Workshops create spaces for participants to engage with one another across differences of race, gender, sexuality, class, faith and politics in ways that promote mutual understanding, compassion, and social change."
International Students,,internationalstudents,Active,Public,University Department/Office,International Students at Furman,International Students at Furman
Jewish Student Association of Furman,JSA,jewish-student-association-of-furman,Active,Public,Diversity and Inclusion;Religious Council,The Jewish Student Association of Furman is designed to provide all Jews and anyone curious with Judaism with the proper community and tools to flourish in upstate South Carolina. We have connections with all three of the local synagogues and many more. Along with our campus advisor we do our best to ensure proper treatment and acknowledgement towards our diverse Jewish community at Furman University.,The Jewish Student Association of Furman is designed to provide all Jews and anyone curious with Judaism with the proper community and tools to flourish in upstate South Carolina. We have connections with all three of the local synagogues and many more...
"Kappa Alpha Psi Fraternity, Inc. (Xi Omega Chapter)",KA Psi / Nupes,kappa-alpha-psi-fraternity-inc,Active,Public,Fraternities and Sororities;Diversity and Inclusion;Political;Programmatic;Community Service,"Kappa Alpha Psi Fraternity, Inc. was founded on the campus of Indiana University on January 5, 1911. Originally chartered and incorporated as Kappa Alpha Nu on April 15, 1911, the name was officially changed to Kappa Alpha Psi on April 15, 1915. The Fraternity's fundamental purpose is ACHIEVEMENT IN EVERY FIELD OF HUMAN ENDEAVOR. Early in this century, African-American students were actively dissuaded from attending college. Formidable obstacles were erected to prevent the enrolled few from assimilating into co-curricular campus life. This ostracism characterized Indiana University in 1911, thus causing Elder W. Diggs, Byron K. Armstrong, and eight other black students to form Kappa Alpha Psi Fraternity, which remains the only Greek letter organization with its Alpha Chapter on the University's campus. The founders sought a formula that would immediately raise the visions and insight of black collegians at Indiana University and worldwide. Kappa Alpha Psi Fraternity, Inc. has continued to provide leadership in every field of human endeavor. Kappa Alpha Psi Fraternity, Inc. made a significant impact as the first black Greek organization on the campus of Furman University in Greenville, SC. Brothers Preston Smith and Randy Eaddy (Furman University Board of Directors) were among some of the first brothers on Furman's campus in the late 1970's. Kappa Alpha Psi finally returned to Furman when Corey M. Leathers, Kevin R. Jackson, Bernard Scott II, Chris A. Robertson, and Clayton Gibson III were initiated through the Gamma Nu chapter at Claflin College. The Xi Omega chapter of Kappa Alpha Psi Fraternity, Inc. began on February 13, 1994, with the initiation of these five brothers. These brothers returned to Furman University to build and promote the fundamental purpose of achievement and brotherhood for which the Fraternity stands. Since then, the Xi Omega chapter at Furman University has grown and promoted the name of Kappa Alpha Psi through its many scholarly and service-driven achievements. The Xi Omega chapter was chartered on April 26, 1998, by Tyron R. Berrian, Leroy O. Davies-Venn, Mike J. Davis, Alykhan Dhanani, Kenneth S. Generette, Clayton Gibson III, Kevin R. Jackson, Corey M. Leathers, Michael T. McNeil, Daniel Prophete, Christopher A. Robertson, Orlando B. Ruff, Bernard Scott II, Latroy A. Strappy, Randy Williams. In the Fall of 2021, the Greenville (SC) Alumni chapter of Kappa Alpha Psi Fraternity, Inc. rechartered the Xi Omega chapter. On November 13, 2021, four brothers, Clinton Washington III, Patrick Carolina II, Miles Baker, and Vincent ""Duval"" McCoy, were initiated into the Fraternity and sought to reignite the continuing legacy of service, brotherhood, and achievement on the campus of Furman University. For 27 years and counting, the brothers of the Xi Omega chapter of Kappa Alpha Psi Fraternity, Inc., have continued to uphold the legacy of these 15 achievers and those who have come after them by conducting service in the Furman and Greenville, SC, community, developing their characters and becoming notable campus leaders, and excelling in the classroom. Currently, the six exceptional brothers on the yard are determined to maintain the vision their charter brothers and founders of the Fraternity bestowed upon them when they entered Kappaland. Kappa Alpha Psi Fraternity, Inc. made a significant impact as the first black Greek organization on the campus of Furman University in Greenville, SC. Brothers Preston Smith and Randy Eaddy (Furman University Board of Directors) were among some of the first brothers on Furman's campus in the late 1970's. Kappa Alpha Psi finally returned to Furman's when Corey M. Leathers, Kevin R. Jackson, Bernard Scott II, Chris A. Robertson, and Clayton Gibson III were initiated at Gamma Nu at Claflin College. The Xi Omega chapter of Kappa Alpha Psi Fraternity, Inc. began on February 13, 1994, with the initiation of these five brothers. These brothers returned to Furman University to build and promote the fundamental purpose of achievement and brotherhood for which the Fraternity stands. Since then, the Xi Omega chapter at Furman University has grown and promoted the name of Kappa Alpha Psi through its many scholarly and service-driven achievements. The Xi Omega chapter was chartered on April 26, 1998, by Tyron R. Berrian, Leroy O. Davies-Venn, Mike J. Davis, Alykhan Dhanani, Kenneth S. Generette, Clayton Gibson III, Kevin R. Jackson, Corey M. Leathers, Michael T. McNeil, Daniel Prophete, Christopher A. Robertson, Orlando B. Ruff, Bernard Scott II, Latroy A. Strappy, Randy Williams. In the Fall of 2021, the Greenville (SC) Alumni chapter of Kappa Alpha Psi Fraternity, Inc. rechartered the Xi Omega chapter. On November 13, 2022, four brothers, Clinton Washington III, Patrick Carolina II, Miles Baker, and Vincent ""Duval"" McCoy, were initiated into the Fraternity and sought to reignite the continuing legacy of service, brotherhood, and achievement on the campus of Furman University. For 26 years and counting, the brothers of the Xi Omega chapter of Kappa Alpha Psi Fraternity, Inc., have continued to uphold the legacy of these 15 achievers and those who have come after them by conducting service in the Furman and Greenville, SC, community, developing their characters and becoming notable campus leaders, and excelling in the classroom. Currently, the six exceptional brothers on the yard are determined to maintain the vision their charter brothers and founders of the Fraternity bestowed upon them when they entered Kappaland.","National History: Kappa Alpha Psi Fraternity, Inc. was founded on the campus of Indiana University on January 5, 1911. Originally charted and incorporated Kappa Alpha Nu on April 15, 1911, officially changed to Kappa Alpha Psi on April 15, 1915"
Kappa Delta,KD,kappa-delta,Active,Public,Academic;Fraternities and Sororities;Programmatic;Community Service,"Kappa Delta Sorority is a national organization for women committed to: Inspiring our members to reach their full potential; Preparing our members for community service, active leadership and responsible citizenship; Creating opportunities for lifetime involvement through innovative and responsive programs, and strategic collaborations and partnerships; and Fostering the development of our time-honored values within the context of friendship.","Kappa Delta Sorority is a national organization for women committed to: Inspiring our members to reach their full potential; Preparing our members for community service, active leadership and responsible citizenship; Creating opportunities for life."
Kink Unlocked For Furman: an Educational Club,KUFF:Ed.,kuffed,Active,Public,Diversity and Inclusion;Special Interest,"Kink Unlocked For Furman: an Educational Club, or ""KUFF:Ed."", has three primary goals: to educate on the safe practice of kink, to provide a supportive space for students who are a part of kink or BDSM subcultures, and to combat the stigma and misinformation that surrounds kink.","KUFF:Ed. offers a supportive space for students who are members of kink or BDSM subcultures, as well as an opportunity for every Furman student to learn about the safe practice of kink. Together, we can combat negative stigmas and misinformation!"
Malone Center for Career Engagement,MCCE,malone-center-for-career-engagement,Active,Public,Academic;Admissions;University Department/Office,"The Malone Center for Career Engagement offers students assistance with career-related decisions including career testing, choosing a major, job searching and graduate school preparation. Schedule an appointment with a career advisor.","The Malone Center for Career Engagement offers students assistance with career-related decisions including career testing, choosing a major, job searching and graduate school preparation."
Men's Club Basketball,MCB,men-s-club-basketball,Active,Public,Atheltics;Club Sports,"Men's club basketball is an organization for those looking for a more competitive arena than intramural sports without the commitment required for the varsity level. As a team, we participate in the National Club Basketball Association. Practice requirements are twice a week for the majority of the year. Tryouts for the upcoming 2023-2024 season will be in the fall. Flyers and announcements with precise dates will be released this fall.",Men's club basketball is an organization for players looking for a more competitive arena than intramural sports without the commitment required for the varsity level. We participate in tournaments and games with other universities in southeast region.
Mere Christianity Forum,MCF,mere-christianity-forum,Active,Public,Diversity and Inclusion;Programmatic;Religious Council;Special Interest,"The mission of Mere Christianity Forum is to promote the thoughtful exploration of Christian faith through conversation & community. Created by Furman students back in 2000, we are a diverse group from a variety of Christian backgrounds and denominations who share a love for rich theological discussion, a commitment to loving and serving our fellow Furman students and the Greenville community, and our interest in finding God in goodness, truth, and beauty. We encourage all kinds of students - seekers, skeptics, and the deeply faithful - to explore the depth and breadth of the Christan faith through our unique blend of faith, reason, and tomfoolery! It's college after all - good old-fashioned fun is an essential part of healthy community! Check us out at faithreasontomfoolery.org and vistahouse.org and servantscholars.org and join one of our small groups or come for a CLP Forum! MCF operates in three primary ways: 1) Theological Discussion on campus through CLP events, our weekly ""Followship"" small groups, our weekly worship nights, and our ""Evening With"" dinner dialogue events with a Furman professor or community leader at Vista House off campus (www.vistahouse.org). 2) Intentional Christian Community at the Vista House, where we have a residential community during the academic year for Furman juniors and seniors; we also have Game Nights, fellowship dinner events, and brunches. 3) Embodied Christian Practice through serving our fellow students on campus, and through our summer program called Servant Scholars. Go to www.servantscholars.org to learn more! Want to be a part of this awesome group? Click the ""Contact"" button or email Ava Kinghorn at kingav7@furman.edu Faith. Reason. Tomfoolery.","Mere Christianity Forum's mission is to explore the Christian faith through conversation & community. We're big fans of C.S. Lewis, theological discussion, hospitality, and good food at Vista House."
Mock Trial Program,Mock Trial,paladinmocktrial,Active,Public,Academic;University Department/Office;Programmatic;Special Interest,"Mock trial is a public speaking exercise in which students portray attorney and witness roles and simulate a courtroom trial. The activity attracts students interested in speech, acting, and the law who flourish in a competitive, team-oriented environment. The Paladins generally field four teams of 8-10 students who are coached by local lawyers and Furman alumni. These teams compete against those representing colleges and universities across the nation. Furman boasts one of the most storied mock trial programs in the nation, having made 22 appearances at the national championship tournament since 1995.",Mock trial is a public-speaking exercise in which students portray attorneys and witnesses in a simulated courtroom setting. Furman sponsors several teams that compete against other universities and are judged by lawyers.
Morgan's Message,MM,morgansmessage,Active,Public,Community Service;Special Interest,Get to Know Morgans Message,Morgan's Message is a national organization that aims to end the stigma surrounding mental health in student-athletes and establish the equal treatment of physical and mental health. The Furman University chapter will advocate for these goals as well!
"Mud, Sweat and Tears",MST,mst,Active,Public,Atheltics;Special Interest,"Mud, Sweat and Tears is a student led organization dedicated to promoting well-being and pushing physical limits. MST gives students opportunities to be on a strong, close-knit team and be stronger, together. DUES ARE 6 TRILLION FOR YOU","Mud, Sweat and Tears is an on-campus organization dedicated to providing Furman students with opportunities to push themselves, in races such as Tough Mudder's and Spartan races."
Multicultural Association of Pre-Health Students,MAPS,maps,Active,Public,Academic;Admissions;Diversity and Inclusion;Community Service;Student Government and Class Pages,"The Mission of the Furman University MAPS chapter is to create cultural awareness about underrepresented populations in healthcare. At MAPS we acknowledge that everyone is different and as future healthcare providers, we need to respect and address this diversity to build trust with our patients. The goal for MAPS is to help build the skillset to understand various cultural and religious norms practiced by various population groups so that health professionals can come up with better ways to treat and diagnose patients.",The Multicultural Association of Pre-Health Students (MAPS) is a student-run organization for pre-health students which focuses on creating a culturally conscious future healthcare workforce.
Music Department,,music,Active,Public,,"Offering six degree programs for passionate performers, composers, theorists and music educators, Furman’s Department of Music is recognized as one of the best and most comprehensive in the nation among liberal arts colleges. Accredited by the National Association of Schools of Music since 1938, our music program excels in pre-college youth events, in current student training with extensive performance opportunities, and in the success of our alumni world-wide.","Offering six degree programs for passionate performers, composers, theorists and music educators, Furman’s Department of Music is recognized as one of the best and most comprehensive in the nation among liberal arts colleges."
Muslim Student Association,MSA,muslim-student-association,Active,Public,Diversity and Inclusion;Religious Council,We are a religious organization meant to represent Muslims on campus. We hope to provide a platform through which Muslims on campus can practice their faith together. We strive to develop understanding between our faith and others.,We are a religious organization raising awareness of Muslims on campus and around the world. We hope to provide a platform where Muslims on campus can practice their faith. We strive to develop understanding between our faith and others on campus.
National Association for Music Education,NAfME,national-association-for-music-education,Active,Public,Academic;Fine Arts;Community Service;Special Interest,"National Association for Music Education (NAfME), among the world’s largest arts education organizations, is the only association that addresses all aspects of music education. NAfME advocates at the local, state, and national levels; provides resources for teachers, parents, and administrators; hosts professional development events; and offers a variety of opportunities for students and teachers. The Association orchestrates success for millions of students nationwide and has supported music educators at all teaching levels for more than a century. NAfME's chapter at Furman University focuses on giving further opportunity to the development of Music Education for students on campus. We host seminars with guest speakers to facilitate education and sponsor students to attend conferences such as the Midwest Band and Orchestra Clinic hosted in Chicago, IL as well as the SCMEA conference held in Columbia, SC.",NAfME's chapter at Furman University focuses on giving further opportunity to the development of Music Education for students on campus. We host seminars with guest speakers to facilitate education and sponsor students to attend conferences.
National Association for the Advancement of Colored People,NAACP,furmannaacp,Active,Public,Diversity and Inclusion;Political;Programmatic;Student Diversity Council Organizations;Community Service,"The mission of the NAACP Youth & College Division shall be to inform youth of the problems affecting African Americans and other racial and ethnic minorities; to advance the economic, education, social and political status of African Americans and other racial and ethnic minorities and their harmonious cooperation with other peoples; to stimulate an appreciation of the African Diaspora and other people of color’s contribution to civilization; and to develop an intelligent, militant effective youth leadership.","Founded in 1909 the NAACP is the largest and most pre-eminent civil rights organization in the nation. Our mission is to secure the political, educational, social, and economic equality of rights in order to eliminate race-based discrimination."
Native American and Indigenous Peoples Association,NAIA,naia,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"The Native American and Indigenous Peoples Association (NAIA) recognizes that Native and Indigenous students at Furman come from many diverse communities, regions, and countries, each with unique cultures and values. Our mission is to create a welcoming environment for all Native and Indigenous peoples at Furman, regardless of their individual beliefs or connections to their identity and community. We strive to make the college transition comfortable for every Native and Indigenous student, supporting them to feel confident in acknowledging their traditions and beliefs with classmates and faculty. We want NAIA members to feel valued and empowered to succeed so they may return to their communities as educated leaders. NAIA actively creates opportunities for the Furman community to learn about and engage with the rich histories, traditions, and contemporary voices of Native and Indigenous communities. Our community is open to all! You do not have to be Native American or Indigenous to join our organization.","NAIA celebrates Furman’s diverse range of Native and Indigenous students, creating a welcoming space to feel supported, empowered, and connected. We also engage the Furman community to learn about and honor Native and Indigenous histories and cultures."
Of Mice and Furmen Book Club,Of Mice and Furmen,of-mice-and-furmen-book-club,Active,Public,Academic;Media;Special Interest,“Of Mice and Furmen” strives to foster a community of people who enjoy reading and discussing real world applications of literary themes. This organization hopes to provide an outlet for readers to regularly converse with people who share their passion for books. Join our GroupMe!,"""Of Mice and Furmen"" Book Club hopes to provide an outlet for readers to regularly converse with people who share their love for reading!"
Office of Student Involvement,,furmanuniversity,Active,Public,,Root branch,"The Office of Student Involvement encompasses student organization management and support, fraternity and sorority life, campus activities and programs, and the Heller Service Corps."
